0.10772,0.6704,0.01512
0.13051,0.66951,0.02049
0.15811,0.66894,0.02442
0.19156,0.6677,0.02983
0.23208,0.66583,0.035797
0.28117,0.66348,0.04276
0.34065,0.66153,0.051028
0.4127,0.65727,0.060717
0.5,0.65216,0.071815
0.60576,0.64471,0.084626
0.7339,0.63537,0.098215
0.88914,0.62271,0.11345
1.0772,0.60943,0.12586
1.3051,0.58992,0.14097
1.5811,0.56755,0.15441
1.9156,0.54158,0.16542
2.3208,0.51189,0.17249
2.8117,0.48146,0.17488
3.4065,0.45181,0.17383
4.127,0.42036,0.16813
5,0.39692,0.1605
6.0576,0.37327,0.14993
7.339,0.35493,0.14003
8.8914,0.33941,0.12947
10.772,0.3236,0.11829
13.051,0.31105,0.11061
15.811,0.29942,0.1005
19.156,0.29107,0.095301
23.208,0.28172,0.088004
28.117,0.2736,0.085302
34.065,0.26438,0.080851
41.27,0.25618,0.077283
50,0.24641,0.071482
88.914,0.22626,0.066941
107.72,0.21691,0.064865
130.51,0.21063,0.063654
158.11,0.20436,0.062636
191.56,0.19553,0.061946
232.08,0.18964,0.061885
281.17,0.18123,0.061384
340.65,0.17428,0.060703
412.7,0.16581,0.059901
500,0.15731,0.058778
605.76,0.14907,0.057283
733.9,0.14141,0.055103
889.14,0.13358,0.052833
1077.2,0.12505,0.048319
1305.1,0.11919,0.045067
1581.1,0.11229,0.040504
1915.6,0.1057,0.035005
2320.8,0.10084,0.030051
2811.7,0.09573,0.023494
3406.5,0.09182,0.017854
4127,0.088332,0.011001
5000,0.085553,0.0043864
6057.6,0.082997,-0.0039504
7339,0.08095,-0.012867
8891.4,0.079691,-0.021704
10772,0.079377,-0.032312
13051,0.078679,-0.045574
15811,0.077737,-0.059865
19156,0.08186,-0.076965
23208,0.083124,-0.095252
28117,0.086867,-0.11604
34065,0.1011,-0.14707
41270,0.10884,-0.17584
50000,0.095078,-0.17235
